# X_CellCenter Qrad_Value
0.250000,2685894.000000
0.750000,3234585.250000
1.250000,3441381.750000
1.750000,3534609.750000
2.250000,3579902.250000
2.750000,3602869.500000
3.250000,3614848.250000
3.750000,3621222.750000
4.250000,3624665.250000
4.750000,3626545.500000
5.250000,3627580.750000
5.750000,3628152.250000
6.250000,3628464.750000
6.750000,3628627.500000
7.250000,3628696.750000
7.750000,3628696.000000
8.250000,3628625.250000
8.750000,3628460.750000
9.250000,3628146.000000
9.750000,3627571.500000
10.250000,3626532.750000
10.750000,3624649.000000
11.250000,3621206.000000
11.750000,3614843.000000
12.250000,3602909.000000
12.750000,3580073.500000
13.250000,3535137.000000
13.750000,3442854.250000
14.250000,3238631.500000
14.750000,2697100.000000
