# X_CellCenter Qrad_Value
0.250000,2694682.000000
0.750000,3241520.750000
1.250000,3462804.000000
1.750000,3528328.250000
2.250000,3592049.250000
2.750000,3607356.000000
3.250000,3620774.000000
3.750000,3631406.250000
4.250000,3616625.250000
4.750000,3617791.250000
5.250000,3626632.750000
5.750000,3630800.250000
6.250000,3615132.750000
6.750000,3625753.750000
7.250000,3641928.750000
7.750000,3652656.000000
8.250000,3622277.000000
8.750000,3630328.500000
9.250000,3651376.000000
9.750000,3640871.750000
10.250000,3628314.750000
10.750000,3616206.000000
11.250000,3632702.000000
11.750000,3593662.250000
12.250000,3586038.750000
12.750000,3562029.750000
13.250000,3527679.750000
13.750000,3422496.000000
14.250000,3239852.750000
14.750000,2682940.250000
