# X_CellCenter Qrad_Est Qrad_Std
0.250000,2690548.928571,5881.687066
0.750000,3236918.000000,4549.384958
1.250000,3443729.571429,14234.332123
1.750000,3526037.250000,13129.994232
2.250000,3587886.500000,8361.952816
2.750000,3605497.500000,6173.017442
3.250000,3611420.857143,8489.034428
3.750000,3624482.892857,9753.388060
4.250000,3624554.928571,9565.861853
4.750000,3628953.857143,8338.509424
5.250000,3634585.642857,13819.501036
5.750000,3633867.321429,7981.667482
6.250000,3625843.000000,13434.752530
6.750000,3635500.571429,7087.324370
7.250000,3628291.464286,9874.422238
7.750000,3632416.535714,14554.971848
8.250000,3631716.500000,10974.512358
8.750000,3633213.857143,6104.094463
9.250000,3626308.607143,16246.711347
9.750000,3627473.750000,14364.083191
10.250000,3621108.714286,7555.091866
10.750000,3623619.821429,10003.859805
11.250000,3622728.250000,9390.830157
11.750000,3605356.535714,10555.853791
12.250000,3599502.571429,9160.280859
12.750000,3580745.464286,10330.471133
13.250000,3532951.428571,12770.471571
13.750000,3431723.142857,12107.864969
14.250000,3236905.928571,5459.756555
14.750000,2690696.750000,12417.047397
